biosample_id,sampleid,organism,host,city,state,zip,country,university,lat_lon,horse,visit,sample_order,dob,collection_date,age_of_collection,sample_age,month_norm,equine_sex,sex,breed,breed_type,diagnosis,disease_category,colic_inflammatory,acute_gi_subgroup,disease_category_healthy,disease_category_acute_gi,disease_category_musculoskeletal,disease_category_ocular,disease_category_integumentary,disease_category_respiratory,disease_category_chronic_gi,disease_category_neurologic,disease_category_dental,disease_category_reproductive,disease_category_systemic,disease_category_cardiovascular,disease_category_immune_mediated,disease_category_urinary,euthanasia_death,treatment,treatment_analgesic,treatment_antibiotic,treatment_surgery,treatment_antacid,treatment_drug,treatment_procedure,treatment_sedative,treatment_supplement,treatment_antibiotic_aminoglycoside,treatment_NSAID,treatment_anesthetic,treatment_antibiotic_beta_lactam,treatment_antibiotic_cephalosporin,treatment_fluid,treatment_antibiotic_sulfonamide,treatment_corticosteroid,feed,feed_pasture,feed_hay,feed_grain,feed_nursing
SAMN37981450,AE188,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653405,1,1,3/28/12,5/8/18,2232,1,5.258064516,Mare,Female,Quarter Horse,Quarter Horse,"Colic: Displacement, right dorsal colon; Impaction, gastric",Gastrointestinal (Acute),no,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Fluids, surgery, gentamicin, penicillin, altrenogest",,,Colic Surgery,,Altrenogest,,,,Gentamicin,,,Penicillin,,Fluids,,,Unknown,0,0,0,0
SAMN37981451,AE189,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653375,1,7,1/1/08,5/6/18,3778,7,5.193548387,Mare,Female,Quarter Horse,Quarter Horse,Apparently Healthy,Healthy,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,"Domperidone, dinoprost, ceftiofur crystalline free acid, flunixin",,,,,"Domperidone,Dinoprost",,,,,Flunixin,,,Ceftiofur,,,,Unknown,0,0,0,0
SAMN37981452,AE190,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653307,1,2,1/1/03,5/5/18,5603,2,5.161290323,Mare,Female,Quarter Horse,Quarter Horse,Behavioral problems: bilateral ovariectomy,Reproductive,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,No,"Surgery, TMS, Phenylbutazone",,,Ovariectomy,,,,,,,Phenylbutazone,,,,,Trimethoprim sulfa,,Unknown,0,0,0,0
SAMN37981453,AE191,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653368,1,5,1/1/14,5/4/18,1584,7,5.129032258,Stallion,Male,Tennessee Walking Horse,Other,"Colic: Displacement, colon",Gastrointestinal (Acute),no,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Xylazine, Surgery, Fluids",,,Colic Surgery,,,,Xylazine,,,,,,,Fluids,,,Unknown,0,0,0,0
SAMN37981454,AE192,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,640795,1,1,1/1/05,5/3/18,4870,1,5.096774194,Mare,Female,Thoroughbred,Hot-blooded,"Colic: Volvulus, colon; Mesenteric tear",Gastrointestinal (Acute),yes,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Xylazine, Detomidine, Butorphanol, Flunixin",Butorphanol,,,,,,"Xylazine,Detomidine",,,Flunixin,,,,,,,Unknown,0,0,0,0
SAMN37981455,AE193,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653368,1,2,1/1/14,5/1/18,1581,4,5.032258065,Stallion,Male,Tennessee Walking Horse,Other,"Colic: Displacement, colon",Gastrointestinal (Acute),no,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Xylazine, Surgery, Fluids",,,Colic Surgery,,,,Xylazine,,,,,,,Fluids,,,Unknown,0,0,0,0
SAMN37981456,AE194,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653368,1,4,1/1/14,5/3/18,1583,6,5.096774194,Stallion,Male,Tennessee Walking Horse,Other,"Colic: Displacement, colon",Gastrointestinal (Acute),no,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Xylazine, Surgery, Fluids",,,Colic Surgery,,,,Xylazine,,,,,,,Fluids,,,Unknown,0,0,0,0
SAMN37981457,AE195,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,640745,1,7,1/1/05,4/29/18,4866,12,4.966666667,Mare,Female,Thoroughbred,Hot-blooded,"Colic: Volvulus, colon; Mesenteric tear",Gastrointestinal (Acute),yes,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Xylazine, Detomidine, Butorphanol, Flunixin",Butorphanol,,,,,,"Xylazine,Detomidine",,,Flunixin,,,,,,,Unknown,0,0,0,0
SAMN37981458,AE196,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653347,1,1,1/1/96,4/26/18,8151,1,4.866666667,Mare,Female,Thoroughbred,Hot-blooded,Presumptive granulosa cell tumor,Reproductive,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,No,"Surgery for ovary removal, TMS, Flunixin, mineral oil",,,Ovary Removal,,,,,Mineral Oil,,Flunixin,,,,,Trimethoprim sulfa,,Unknown,0,0,0,0
SAMN37981459,AE197,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,640745,1,9,1/1/05,5/2/18,4869,15,5.064516129,Mare,Female,Thoroughbred,Hot-blooded,"Colic: Volvulus, colon; Mesenteric tear",Gastrointestinal (Acute),yes,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Xylazine, Detomidine, Butorphanol, Flunixin",Butorphanol,,,,,,"Xylazine,Detomidine",,,Flunixin,,,,,,,Unknown,0,0,0,0
SAMN37981460,AE198,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,640745,1,8,1/1/05,4/30/18,4867,13,5,Mare,Female,Thoroughbred,Hot-blooded,"Colic: Volvulus, colon; Mesenteric tear",Gastrointestinal (Acute),yes,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Xylazine, Detomidine, Butorphanol, Flunixin",Butorphanol,,,,,,"Xylazine,Detomidine",,,Flunixin,,,,,,,Unknown,0,0,0,0
SAMN37981461,AE199,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653346,1,2,1/1/12,4/27/18,2308,2,4.9,Mare,Female,Thoroughbred,Hot-blooded,Apparently Healthy,Healthy,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,"Xylazine, Acepromazine",,,,,,,"Xylazine,Acepromazine",,,,,,,,,,Unknown,0,0,0,0
SAMN37981462,AE200,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,640745,1,5,1/1/05,4/25/18,4862,8,4.833333333,Mare,Female,Thoroughbred,Hot-blooded,"Colic: Volvulus, colon; Mesenteric tear",Gastrointestinal (Acute),yes,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Xylazine, Detomidine, Butorphanol, Flunixin",Butorphanol,,,,,,"Xylazine,Detomidine",,,Flunixin,,,,,,,Unknown,0,0,0,0
SAMN37981463,AE201,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,640745,1,6,1/1/05,4/27/18,4864,10,4.9,Mare,Female,Thoroughbred,Hot-blooded,"Colic: Volvulus, colon; Mesenteric tear",Gastrointestinal (Acute),yes,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Xylazine, Detomidine, Butorphanol, Flunixin",Butorphanol,,,,,,"Xylazine,Detomidine",,,Flunixin,,,,,,,Unknown,0,0,0,0
SAMN37981464,AE202,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653326,1,1,1/1/15,4/22/18,1207,1,4.733333333,Filly,Female,Thoroughbred,Hot-blooded,"Colic: Impaction, pelvic flexure",Gastrointestinal (Acute),no,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Xylazine, Detomidine, Butorphanol, flunixin, fluids",Butorphanol,,,,,,"Xylazine,Detomidine",,,Flunixin,,,,Fluids,,,Unknown,0,0,0,0
SAMN37981465,AE203,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,640745,1,2,1/1/05,4/22/18,4859,5,4.733333333,Mare,Female,Thoroughbred,Hot-blooded,"Colic: Volvulus, colon; Mesenteric tear",Gastrointestinal (Acute),yes,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Xylazine, Detomidine, Butorphanol, Flunixin",Butorphanol,,,,,,"Xylazine,Detomidine",,,Flunixin,,,,,,,Unknown,0,0,0,0
SAMN37981466,AE204,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653328,1,1,1/1/05,4/23/18,4860,1,4.766666667,Gelding,Male,Quarter Horse,Quarter Horse,Colic,Gastrointestinal (Acute),no,Non-Specific,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Fluids,,,,,,,,,,,,,,Fluids,,,Unknown,0,0,0,0
SAMN37981467,AE205,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653316,1,1,4/18/99,4/19/18,6941,1,4.633333333,Gelding,Male,Thoroughbred,Hot-blooded,"Colic: Impaction, ileum",Gastrointestinal (Acute),no,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Buscopan, detomidine, butorphanol, flunixin, aspirin","Analgesics,Butorphanol",,,,Butylscopolamine,,Detomidine,,,"Flunixin,Aspirin",,,,,,,Hay/Grain,0,1,1,0
SAMN37981468,AE206,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653316,1,2,4/18/99,4/20/18,6942,2,4.666666667,Gelding,Male,Thoroughbred,Hot-blooded,"Colic: Impaction, ileum",Gastrointestinal (Acute),no,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Buscopan, detomidine, butorphanol, flunixin, aspirin","Analgesics,Butorphanol",,,,Butylscopolamine,,Detomidine,,,"Flunixin,Aspirin",,,,,,,Hay/Grain,0,1,1,0
SAMN37981469,AE207,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653307,1,3,1/1/03,5/7/18,5605,4,5.225806452,Mare,Female,Quarter Horse,Quarter Horse,Behavioral problems: bilateral ovariectomy,Reproductive,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,No,"Surgery, TMS, Phenylbutazone",,,Ovariectomy,,,,,,,Phenylbutazone,,,,,Trimethoprim sulfa,,Unknown,0,0,0,0
SAMN37981470,AE208,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,643787,1,1,1/1/05,5/9/18,4876,1,5.290322581,Gelding,Male,Quarter Horse,Quarter Horse,"Colic: Displacement, colon; Ulcers: Gastric",Gastrointestinal (Acute),no,Other,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Xylazine, fluids, omeprazole, sucralfate",,,,Omeprazole,Sucralfate,,Xylazine,,,,,,,Fluids,,,Unknown,0,0,0,0
SAMN37981471,AE209,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653328,1,3,1/1/05,4/25/18,4862,3,4.833333333,Gelding,Male,Quarter Horse,Quarter Horse,Colic,Gastrointestinal (Acute),no,Non-Specific,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Fluids,,,,,,,,,,,,,,Fluids,,,Unknown,0,0,0,0
SAMN37981472,AE210,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653326,1,2,1/1/15,4/23/18,1208,2,4.766666667,Filly,Female,Thoroughbred,Hot-blooded,"Colic: Impaction, pelvic flexure",Gastrointestinal (Acute),no,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Xylazine, Detomidine, Butorphanol, flunixin, fluids",Butorphanol,,,,,,"Xylazine,Detomidine",,,Flunixin,,,,Fluids,,,Unknown,0,0,0,0
SAMN37981473,AE211,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653375,1,3,1/1/08,5/2/18,3774,3,5.064516129,Mare,Female,Quarter Horse,Quarter Horse,Apparently Healthy,Healthy,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,"Domperidone, dinoprost, ceftiofur crystalline free acid, flunixin",,,,,"Domperidone,Dinoprost",,,,,Flunixin,,,Ceftiofur,,,,Unknown,0,0,0,0
SAMN37981474,AE212,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653329,1,2,1/1/06,4/24/18,4496,3,4.8,Gelding,Male,Quarter Horse,Quarter Horse,"Colic: Impaction, ileum",Gastrointestinal (Acute),no,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Fluids, butorphanol, Xylazine",Butorphanol,,,,,,Xylazine,,,,,,,Fluids,,,Unknown,0,0,0,0
SAMN37981475,AE213,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653329,1,3,1/1/06,4/25/18,4497,4,4.833333333,Gelding,Male,Quarter Horse,Quarter Horse,"Colic: Impaction, ileum",Gastrointestinal (Acute),no,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Fluids, butorphanol, Xylazine",Butorphanol,,,,,,Xylazine,,,,,,,Fluids,,,Unknown,0,0,0,0
SAMN37981476,AE214,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653328,1,4,1/1/05,4/26/18,4863,4,4.866666667,Gelding,Male,Quarter Horse,Quarter Horse,Colic,Gastrointestinal (Acute),no,Non-Specific,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,Fluids,,,,,,,,,,,,,,Fluids,,,Unknown,0,0,0,0
SAMN37981477,AE252,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653416,1,1,1/1/13,5/13/18,1958,1,5.419354839,Mare,Female,Quarter Horse,Quarter Horse,Suspected respiratory infection,Respiratory,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,No,"IV fluids 5/13, sedation (xylazine 5/13), add alfalfa hay 5/15,",,,,,,,Xylazine,,,,,,,Fluids,,,Hay,0,1,0,0
SAMN37981478,AE253,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,650166,1,1,1/1/10,5/14/18,3055,1,5.451612903,Mare,Female,Quarter Horse,Quarter Horse,Diarrhea,Gastrointestinal (Acute),no,Non-Specific,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"IV fluids 5/14, ultium/seniro mash 5/15; adding alfalfa hay 5/16",,,,,,,,,,,,,,Fluids,,,Hay,0,1,0,0
SAMN37981479,AE254,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653583,1,4,6/21/08,6/24/18,3655,26,6.8,Gelding,Male,Pony,Pony,RH Flexor tendon laceration/severed,Musculoskeletal,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,No,"Potassium penicillin (22000 IU/kg q. 6 h IV for 5 days), gentamicin (6.6 mg/kg IV for 5 days, phenylbutazone 2.2 mg/kg IV q 12 h for five days then PO until 7/31/18 , surgery and anesthesia, amikacin regional limb perfusion for three days, mineral oil 6/24, TMS starting 6/27-7/7,",,,,,,,,Mineral Oil,"Gentamicin,Amikacin",Phenylbutazone,Anesthesia,Penicillin,,,Trimethoprim sulfa,,Hay,0,1,0,0
SAMN37981480,AE255,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653405,1,5,3/28/12,5/12/18,2236,5,5.387096774,Mare,Female,Quarter Horse,Quarter Horse,"Colic: Displacement, right dorsal colon; Impaction, gastric",Gastrointestinal (Acute),no,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"Fluids, surgery, gentamicin, penicillin, altrenogest",,,Colic Surgery,,Altrenogest,,,,Gentamicin,,,Penicillin,,Fluids,,,Hay,0,1,0,0
SAMN37981481,AE256,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653430,1,2,1/1/15,5/18/18,1233,2,5.580645161,Filly,Female,Quarter Horse,Quarter Horse,Apparently Healthy,Healthy,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,,,,,,,,,,,,,,,Hay,0,1,0,0
SAMN37981482,AE257,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653430,1,1,1/1/15,5/17/18,1232,1,5.548387097,Filly,Female,Quarter Horse,Quarter Horse,Apparently Healthy,Healthy,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,,,,,,,,,,,,,,,Hay,0,1,0,0
SAMN37981483,AE258,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653406,1,1,1/1/09,5/10/18,3416,1,5.322580645,Gelding,Male,Quarter Horse,Quarter Horse,"Hoof imbalance, carpal osteoarthritis, thoracic/lumbar/sacral pain",Musculoskeletal,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,No,None,,,,,,,,,,,,,,,,,Hay,0,1,0,0
SAMN37981484,AE259,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653426,1,1,2/13/16,5/17/18,824,1,5.548387097,Gelding,Male,Quarter Horse,Quarter Horse,Bilateral hock OCD; lateral collateral ligament desmitits of the right tibiotarsal joint,Musculoskeletal,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,No,Phenylbutazone,,,,,,,,,,Phenylbutazone,,,,,,,Hay,0,1,0,0
SAMN37981485,AE260,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653387,1,1,1/1/17,5/16/18,500,1,5.516129032,Filly,Female,Quarter Horse,Quarter Horse,Distal intertarsal osteochondrosis,Musculoskeletal,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,No,"5/16: IV antibiotics (penicillin 22,000 IU/kg pre and post-op, gentamicin 6.6 mg/kg IV pre op), anesthesia plus arthroscopic surgery, 5/16 and 5/17 sedation (xylazine); phenylbutazone (2.2 mg/kg IV 5/16)",,,Arthroscopy,,,,Xylazine,,Gentamicin,Phenylbutazone,,Penicillin,,,,,Hay,0,1,0,0
SAMN37981486,AE261,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653148,1,1,1/1/03,5/16/18,5614,1,5.516129032,Gelding,Male,Quarter Horse,Quarter Horse,Corpora nigra OS obstructing vision,Ocular,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,No,"Laser diode therapy OS 5/16, flunixin meglumine 1.1 mg/kg q. 12 h (5/15-5/16), sedation (one dose 5/15 and 5/16)",,,,,,,Sedation,,,Flunixin,,,,,,,Hay,0,1,0,0
SAMN37981487,AE262,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653439,1,1,11/18/15,5/18/18,912,1,5.580645161,Colt,Male,Quarter Horse,Quarter Horse,Colic: Small intestinal entrapment; Left inguinal hernia,Gastrointestinal (Acute),yes,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"IV fluids, colic surgery with resection and anastomosis (anesthesia) 5/18, Penicillin 22000 IU/kg IV q. 6 h for 5 days, gentamicin 6.6 mg/kg IV q. 24 h for four days, Banamine 1.1 mg/kg IV for 7 days then 0.5 mg/kg IV for 2 days, heparin for 3 days, omeprazole 5/21-discharge, lidocaine CRI for five days, started eating grass 5/22 and senior mash 5/23; alfalfa hay 5/28",,,Colic Surgery,Omeprazole,Heparin,,,,Gentamicin,Flunixin,"Anesthesia,Lidocaine",Penicillin,,,,,Hay,0,1,0,0
SAMN37981488,AE263,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653249,1,1,1/1/10,5/14/18,3055,1,5.451612903,Mare,Female,Quarter Horse,Quarter Horse,Diarrhea,Gastrointestinal (Acute),no,Non-Specific,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,IV fluids 5/14,,,,,,,,,,,,,,Fluids,,,Hay,0,1,0,0
SAMN37981489,AE264,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653417,1,1,1/1/02,5/16/18,5979,1,5.516129032,Mare,Female,Quarter Horse,Quarter Horse,Left front navicular syndrome,Musculoskeletal,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,No,"5/16/18 phenylubtazone 4.4 mg/kg IV, then PO. 5/16 gentamicin (6.6 mg/kg IV, penicillin 22000 IU/kg IV pre and post op), tetanus toxoid, anesthesia + neurectomy surgery",,,Neurectomy,,,Tetanus Toxoid,,,Gentamicin,Phenylbutazone,Anesthesia,Penicillin,,,,,Hay,0,1,0,0
SAMN37981490,AE265,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653448,1,2,1/1/09,5/25/18,3431,2,5.806451613,Gelding,Male,Quarter Horse,Quarter Horse,"Colic: Displacement, left dorsal colon",Gastrointestinal (Acute),no,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"IV fluids, anesthesia, colic surgery, tetanus toxoid, penicillin (22000 IU/kg q. 6 h IV for three days),gentamicin (6.6 mg/kg IV q. 24 h for three days) flunixin meglumine 1.1 mg/kg IV q. 12 h for three days, senior mash plus alfalfa starting 6 hours after surgery and gradually increasing alfalfa hay, added grass hay 5/27",,,Colic Surgery,,,Tetanus Toxoid,,,Gentamicin,Flunixin,Anesthesia,Penicillin,,Fluids,,,Hay,0,1,0,0
SAMN37981491,AE266,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653463,1,1,1/1/04,5/29/18,5262,1,5.935483871,Gelding,Male,Quarter Horse,Quarter Horse,"Colic: Displacement, right dorsal colon; Impaction, ileum",Gastrointestinal (Acute),no,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"IV fluids, lidocaine CRI (5/30-5/31), penicillin (22000 IU/kg IV q. 6 h 5/30 and 5/31), flunixin meglumine 1.1 mg/kg IV q 12 h 5/30-6/1; penicillin and gentamicin restarted 6/6-6/7; metronidazole 6/6-6/8; PMMA beads in abdominal incision 6/8",,PMMA Beads,,,,,,,"Gentamicin,Metronidazole",Flunixin,Lidocaine,Penicillin,,Fluids,,,Hay,0,1,0,0
SAMN37981492,AE267,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653486,1,4,1/1/04,6/7/18,5271,7,6.233333333,Mare,Female,Quarter Horse,Quarter Horse,Apparently Healthy,Healthy,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,,,,,,,,,,,,,,,Hay,0,1,0,0
SAMN37981493,AE268,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653448,1,1,1/1/09,5/24/18,3430,1,5.774193548,Gelding,Male,Quarter Horse,Quarter Horse,"Colic: Displacement, left dorsal colon",Gastrointestinal (Acute),no,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"IV fluids, anesthesia, colic surgery, tetanus toxoid, penicillin (22000 IU/kg q. 6 h IV for three days),gentamicin (6.6 mg/kg IV q. 24 h for three days) flunixin meglumine 1.1 mg/kg IV q. 12 h for three days, senior mash plus alfalfa starting 6 hours after surgery and gradually increasing alfalfa hay, added grass hay 5/27",,,Colic Surgery,,,Tetanus Toxoid,,,Gentamicin,Flunixin,Anesthesia,Penicillin,,Fluids,,,Hay,0,1,0,0
SAMN37981494,AE269,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653484,1,2,5/31/94,6/1/18,8767,1,6.033333333,Stallion,Male,Quarter Horse,Quarter Horse,Colic,Gastrointestinal (Acute),no,Non-Specific,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,IV fluids ~24 h; flunixin meglumine 1.1 mg/kg IV once,,,,,,,,,,Flunixin,,,,Fluids,,,Hay,0,1,0,0
SAMN37981495,AE270,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653467,1,7,1/1/04,6/6/18,5270,8,6.2,Gelding,Male,Quarter Horse,Quarter Horse,"Colic: Displacement, right dorsal colon; Impaction, ileum",Gastrointestinal (Acute),no,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"IV fluids, lidocaine CRI (5/30-5/31), penicillin (22000 IU/kg IV q. 6 h 5/30 and 5/31), flunixin meglumine 1.1 mg/kg IV q 12 h 5/30-6/1; penicillin and gentamicin restarted 6/6-6/7; metronidazole 6/6-6/8; PMMA beads in abdominal incision 6/8",,PMMA Beads,,,,,,,"Gentamicin,Metronidazole",Flunixin,Lidocaine,Penicillin,,Fluids,,,Hay,0,1,0,0
SAMN37981496,AE271,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653486,1,1,1/1/04,6/1/18,5265,1,6.033333333,Mare,Female,Quarter Horse,Quarter Horse,Apparently Healthy,Healthy,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,,,,,,,,,,,,,,,Hay,0,1,0,0
SAMN37981497,AE272,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653487,1,1,1/1/04,6/5/18,5269,1,6.166666667,Mare,Female,Quarter Horse,Quarter Horse,Apparently Healthy,Healthy,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,,,,,,,,,,,,,,,Hay,0,1,0,0
SAMN37981498,AE273,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653486,1,5,1/1/04,6/8/18,5272,8,6.266666667,Mare,Female,Quarter Horse,Quarter Horse,Apparently Healthy,Healthy,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,No,None,,,,,,,,,,,,,,,,,Hay,0,1,0,0
SAMN37981499,AE274,Equine Feces,Equus caballus,Baton Rouge,LA,70801,USA,Louisiana State University,30.41 N 91.19 W,653463,1,3,1/1/04,5/31/18,5264,3,6,Gelding,Male,Quarter Horse,Quarter Horse,"Colic: Displacement, right dorsal colon; Impaction, ileum",Gastrointestinal (Acute),no,Mechanical,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,"IV fluids, lidocaine CRI (5/30-5/31), penicillin (22000 IU/kg IV q. 6 h 5/30 and 5/31), flunixin meglumine 1.1 mg/kg IV q 12 h 5/30-6/1; penicillin and gentamicin restarted 6/6-6/7; metronidazole 6/6-6/8; PMMA beads in abdominal incision 6/8",,PMMA Beads,,,,,,,"Gentamicin,Metronidazole",Flunixin,Lidocaine,Penicillin,,Fluids,,,Hay,0,1,0,0
